# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30035181	tr|A0A267FSX5|A0A267FSX5_9PLAT	***	PBPe domain-containing protein		GO:0004970, GO:0005216, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0034220, GO:0035235, GO:0038023
SMED30035182	tr|A0A384BVL7|A0A384BVL7_URSMA	***	Mannose-P-dolichol utilization defect 1		GO:0006488, GO:0009312, GO:0016020, GO:0016021
SMED30035180			Unknown protein		
SMED30035174			Unknown protein		
SMED30035175	tr|A0A4Z2DXS9|A0A4Z2DXS9_SCHJA	***	Anoctamin		GO:0016020, GO:0016021
SMED30035172			Unknown protein		
SMED30035173			Unknown protein		
SMED30035178			Unknown protein		
SMED30035179	tr|A0A2K6FG58|A0A2K6FG58_PROCO	*-*	Spondin 1		GO:0010954, GO:0032092, GO:0050693, GO:1902430, GO:1902993
SMED30035176	tr|A0A0B7AUN9|A0A0B7AUN9_9EUPU	***	Succinate-semialdehyde dehydrogenase		GO:0004777, GO:0005739, GO:0009013, GO:0009450, GO:0016491, GO:0016620, GO:0055114
SMED30035177			Unknown protein		
SMED30023192			Unknown protein		
SMED30023191	tr|A4V6J5|A4V6J5_DUGJA	***	Polyadenylate-binding protein		GO:0003676, GO:0003723
SMED30023190			Unknown protein		
SMED30023196	tr|A0A3N2QBE5|A0A3N2QBE5_9BACT	***	Glycosyl hydrolase family 25		GO:0003796, GO:0009253, GO:0016787, GO:0016998
SMED30023195			Unknown protein		
SMED30023194			Unknown protein		
SMED30023193	tr|G7YCU6|G7YCU6_CLOSI	*-*	Tau tubulin kinase		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30023199	sp|Q5R4Q7|LZTR1_PONAB	*-*	Leucine-zipper-like transcriptional regulator 1		GO:0005768, GO:0005794, GO:0012505, GO:0016020, GO:0016567, GO:0017016, GO:0031463, GO:0046580, GO:0055037, GO:0055038
SMED30023198	tr|A0A2K5DL50|A0A2K5DL50_AOTNA	***	Ectopic P-granules autophagy protein 5 homolog		GO:0006914
SMED30023197			Unknown protein		
SMED30035170			Unknown protein		
SMED30035171			Unknown protein		
SMED30035196			Unknown protein		
SMED30035197	tr|A0A2U3V218|A0A2U3V218_TURTR	*-*	SCAN domain-containing protein 3		GO:0003676, GO:0003700, GO:0005634, GO:0006355, GO:0015074
SMED30035194	tr|A0A210PZ40|A0A210PZ40_MIZYE	***	DnaJ-like subfamily C member 27		GO:0003924, GO:0005525
SMED30035195	tr|A0A193KUN3|A0A193KUN3_SCHMD	***	GCR142		GO:0016020, GO:0016021
SMED30035198			Unknown protein		
SMED30035199			Unknown protein		
SMED30035192			Unknown protein		
SMED30035193	tr|A0A0M4HFL9|A0A0M4HFL9_9PLAT	***	Heat shock protein 90		GO:0005524, GO:0006457, GO:0051082
SMED30035190	tr|A0A2S2QKB9|A0A2S2QKB9_9HEMI	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30035191	tr|M1BJ75|M1BJ75_SOLTU	*-*	RING-type domain-containing protein		GO:0016567, GO:0061630
SMED30011130			Unknown protein		
SMED30013793			Unknown protein		
SMED30011131			Unknown protein		
SMED30013792			Unknown protein		
SMED30011132			Unknown protein		
SMED30013795	tr|A0A4Z2CZI0|A0A4Z2CZI0_SCHJA	*-*	FSA_C domain-containing protein		GO:0016020, GO:0016021
SMED30011133			Unknown protein		
SMED30013794			Unknown protein		
SMED30035101	tr|D2VP18|D2VP18_NAEGR	*-*	Protein kinase		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30035102			Unknown protein		
SMED30013791	tr|Q24696|Q24696_GIRTI	***	C-type lectin-like protein		GO:0030246
SMED30013790	tr|W6U2V4|W6U2V4_ECHGR	*-*	Protocadherin-9		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020, GO:0016021
SMED30035100			Unknown protein		
SMED30011138	tr|A0A4U5UI54|A0A4U5UI54_COLLU	*-*	EF-hand calcium-binding domain-containing protein 7		GO:0005509
SMED30035105	tr|W6UP68|W6UP68_ECHGR	***	Serine-rich repeat protein 2		
SMED30011139			Unknown protein		
SMED30035106			Unknown protein		
SMED30035103			Unknown protein		
SMED30035104			Unknown protein		
SMED30011134			Unknown protein		
SMED30013797			Unknown protein		
SMED30035109			Unknown protein		
SMED30011135	tr|W4XBI5|W4XBI5_STRPU	*-*	MFS domain-containing protein		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30013796	sp|Q9U3U0|RLA0_CERCA	*-*	60S acidic ribosomal protein P0		GO:0005840, GO:0042254
SMED30011136			Unknown protein		
SMED30013799			Unknown protein		
SMED30035107	tr|A0A267EZ45|A0A267EZ45_9PLAT	***	Beta-galactosidase		GO:0004553, GO:0004565, GO:0005975, GO:0008152, GO:0016020, GO:0016021, GO:0016787, GO:0016798
SMED30011137	sp|Q7RV88|IF4A_NEUCR	***	ATP-dependent RNA helicase eIF4A		GO:0000166, GO:0003676, GO:0003723, GO:0003724, GO:0003743, GO:0004386, GO:0005524, GO:0005737, GO:0006412, GO:0006413, GO:0016787
SMED30013798	tr|A0A3M7QAW0|A0A3M7QAW0_BRAPC	***	Dual specificity phosphatase 10		GO:0004721, GO:0004725, GO:0006470, GO:0008138, GO:0016311, GO:0016787, GO:0016791, GO:0035335
SMED30035108			Unknown protein		
SMED30025782			Unknown protein		
SMED30025783	tr|A0A1S3HEC8|A0A1S3HEC8_LINUN	***	NADPH--cytochrome P450 reductase		GO:0003958, GO:0005737, GO:0005783, GO:0005789, GO:0010181, GO:0016020, GO:0016021, GO:0016491, GO:0050660, GO:0050661, GO:0055114
SMED30025784			Unknown protein		
SMED30025785			Unknown protein		
SMED30023123			Unknown protein		
SMED30023122			Unknown protein		
SMED30023121			Unknown protein		
SMED30025780	tr|A0A5J4NYI6|A0A5J4NYI6_9TREM	***	Serine/threonine-protein kinase PLK		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30023120			Unknown protein		
SMED30025781	tr|W5MWH2|W5MWH2_LEPOC	***	WD repeat domain 36		GO:0006364, GO:0032040
SMED30023127			Unknown protein		
SMED30023126			Unknown protein		
SMED30023125			Unknown protein		
SMED30023124			Unknown protein		
SMED30025786			Unknown protein		
SMED30025787	tr|W8ARB5|W8ARB5_CERCA	***	Acetylcholine receptor subunit beta-like 1		GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0060078, GO:0060079
SMED30023129	tr|V4ATM2|V4ATM2_LOTGI	*-*	FERM domain-containing protein		GO:0005856
SMED30025788	tr|A0A182H7K9|A0A182H7K9_AEDAL	***	HTH CENPB-type domain-containing protein		GO:0003676, GO:0003677
SMED30023128	tr|W8AJZ1|W8AJZ1_CERCA	***	Histone-lysine N-methyltransferase SETMAR		GO:0008168, GO:0016740, GO:0032259
SMED30025789	tr|A0A091IZP3|A0A091IZP3_CALAN	***	Lipid phosphate phosphohydrolase 2		GO:0006644, GO:0008195, GO:0016020, GO:0016021, GO:0016311, GO:0016787
SMED30011141	tr|H2KNG0|H2KNG0_CLOSI	***	FMRFamide-activated amiloride-sensitive sodium channel		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0035725
SMED30011142	tr|A0A4Y4MAU5|A0A4Y4MAU5_9FLAO	***	DNA-binding response regulator		GO:0000160, GO:0003677, GO:0006355
SMED30011143	sp|Q2PC95|PIWIL_DUGJA	*-*	Piwi-like protein		GO:0003676, GO:0031047
SMED30011144			Unknown protein		
SMED30011140	sp|Q7ZWM4|ASSY_XENLA	***	Argininosuccinate synthase		GO:0000050, GO:0000166, GO:0004055, GO:0005524, GO:0005737, GO:0005829, GO:0006526, GO:0008652, GO:0016874
SMED30011149	tr|A0A1Y1CNV2|A0A1Y1CNV2_9BACT	*-*	6-phosphogluconate dehydrogenase, decarboxylating		GO:0004616, GO:0005975, GO:0006098, GO:0016301, GO:0016310, GO:0016491, GO:0019521, GO:0050661, GO:0055114
SMED30011145	tr|A0A0X3P3N5|A0A0X3P3N5_SCHSO	***	Histone-lysine N-methyltransferase 2E		GO:0008168, GO:0016740, GO:0032259, GO:0046872
SMED30011146	tr|A0A0B7ADM8|A0A0B7ADM8_9EUPU	***	Malectin domain-containing protein		GO:0016020, GO:0016021, GO:0030246
SMED30011147			Unknown protein		
SMED30011148			Unknown protein		
SMED30025771	tr|A0A151X1Y7|A0A151X1Y7_9HYME	*-*	Palmitoyltransferase		GO:0016020, GO:0016021, GO:0016409, GO:0016740, GO:0016746, GO:0019706
SMED30025772			Unknown protein		
SMED30025773			Unknown protein		
SMED30025774			Unknown protein		
SMED30023112			Unknown protein		
SMED30023111	tr|A0A5B7BRQ3|A0A5B7BRQ3_DAVIN	*-*	RBR-type E3 ubiquitin transferase		GO:0004842, GO:0016567, GO:0016740, GO:0046872
SMED30023110	tr|G7Y5W0|G7Y5W0_CLOSI	***	Filamin		GO:0003779
SMED30025770			Unknown protein		
SMED30023116	tr|A0A4Z2DPG6|A0A4Z2DPG6_SCHJA	***	Glycine receptor subunit alpha-3		GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006811, GO:0016020, GO:0016021, GO:0034220
SMED30025779			Unknown protein		
SMED30023115	sp|Q6DF46|COQ6_XENTR	***	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial		GO:0004497, GO:0005739, GO:0005743, GO:0005794, GO:0006744, GO:0016020, GO:0016491, GO:0016709, GO:0016712, GO:0031314, GO:0042995, GO:0050660, GO:0055114, GO:0071949
SMED30023114	tr|A0A0V0J297|A0A0V0J297_SCHSO	*-*	Zinc transporter ZIP1		GO:0016020, GO:0016021, GO:0030001, GO:0046873, GO:0055085
SMED30023113	tr|I1ZID7|I1ZID7_SCHMD	*-*	TNF receptor associated factor-3		
SMED30025775	tr|A0A0R3SPR4|A0A0R3SPR4_HYMDI	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30023119	tr|A0A1X0QXK4|A0A1X0QXK4_RHIZD	*-*	Kinase-like protein		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30025776	tr|K1Q9E6|K1Q9E6_CRAGI	*-*	Serine/arginine repetitive matrix protein 2		
SMED30023118			Unknown protein		
SMED30025777			Unknown protein		
SMED30023117	tr|A0A4Y2EH77|A0A4Y2EH77_ARAVE	***	HIV Tat-specific factor 1		GO:0000398, GO:0003676, GO:0003723
SMED30025778	tr|A0A0A7M699|A0A0A7M699_SCHPL	***	SOXB1-1		GO:0003677, GO:0005634, GO:0006355
SMED30011152	tr|B0FDT1|B0FDT1_9ABAC	*-*	Inhibitor of apoptosis protein 2		
SMED30011153			Unknown protein		
SMED30035120	tr|A0A5J4NKQ2|A0A5J4NKQ2_9TREM	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0008528, GO:0016020, GO:0016021
SMED30011154	tr|A0A131YXM9|A0A131YXM9_RHIAP	*-*	Sphingomyelin phosphodiesterase acid like 3b		GO:0016020, GO:0016021, GO:0016787
SMED30011155	tr|A0A0J7KLN0|A0A0J7KLN0_LASNI	*-*	Dna pol b2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30035123			Unknown protein		
SMED30035124			Unknown protein		
SMED30011150	tr|A0A554WRK1|A0A554WRK1_9BURK	***	RNA polymerase sigma factor RpoH		GO:0001123, GO:0003677, GO:0003700, GO:0005737, GO:0006352, GO:0006355, GO:0009408, GO:0010468, GO:0016987, GO:2000142
SMED30035121	tr|A0A4Z2D7V3|A0A4Z2D7V3_SCHJA	***	Solute carrier family 43 member 3		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30011151			Unknown protein		
SMED30035122	tr|W5J6A3|W5J6A3_ANODA	***	Cold shock domain-containing protein E1		GO:0003676
SMED30035127			Unknown protein		
SMED30035128	sp|Q5U4Q9|SCLY_XENTR	***	Selenocysteine lyase		GO:0003824, GO:0005737, GO:0005829, GO:0009000, GO:0016740, GO:0016829
SMED30035125	tr|Q84SU1|Q84SU1_ORYSJ	*-*	Transposon protein, putative, Mutator sub-class		GO:0008270
SMED30035126	tr|A0A1A9YEZ1|A0A1A9YEZ1_GLOFF	*-*	DDE_Tnp_1_7 domain-containing protein		GO:0016020, GO:0016021
SMED30011156			Unknown protein		
SMED30011157			Unknown protein		
SMED30011158			Unknown protein		
SMED30035129			Unknown protein		
SMED30011159	tr|A0A2S2P6U0|A0A2S2P6U0_SCHGA	*-*	Zinc finger MYM-type protein 1		GO:0046983
SMED30023141			Unknown protein		
SMED30023140	tr|A0A094ZJC6|A0A094ZJC6_SCHHA	***	Glutamate receptor ionotropic, NMDA 2B		GO:0004970, GO:0005216, GO:0005886, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0034220, GO:0035235, GO:0038023
SMED30023145			Unknown protein		
SMED30023144	tr|X1X7E6|X1X7E6_ACYPI	*-*	DUF659 domain-containing protein		GO:0000122, GO:0001227, GO:0003690, GO:0005634, GO:0006357
SMED30023143	tr|A0A448BAZ0|A0A448BAZ0_9FLAO	***	Poly-beta-1,6-N-acetyl-D-glucosamine synthase		GO:0003824, GO:0005975, GO:0008061, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0016810
SMED30023142	tr|A0A2B4RIF4|A0A2B4RIF4_STYPI	*-*	Retrovirus-related Pol polyprotein		GO:0003676, GO:0015074
SMED30023149			Unknown protein		
SMED30023148			Unknown protein		
SMED30023147			Unknown protein		
SMED30023146	tr|A0A4E0RFY7|A0A4E0RFY7_FASHE	***	Cell wall integrity and stress response component 1		GO:0016020, GO:0016021
SMED30011163			Unknown protein		
SMED30011164			Unknown protein		
SMED30011165	tr|T1DBJ6|T1DBJ6_SCHMD	***	Fzd-4-3		GO:0004888, GO:0007166, GO:0007275, GO:0016020, GO:0016021, GO:0016055
SMED30011166			Unknown protein		
SMED30035112			Unknown protein		
SMED30011160			Unknown protein		
SMED30035113	tr|T2MEB8|T2MEB8_HYDVU	*-*	Mitotic-spindle organizing protein 1		GO:0008274, GO:0033566
SMED30011161	tr|A0A1R1Y457|A0A1R1Y457_9FUNG	***	DDE_3 domain-containing protein		GO:0003677
SMED30035110	tr|A0A193KUF9|A0A193KUF9_SCHMD	***	GCR158		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30011162			Unknown protein		
SMED30035111			Unknown protein		
SMED30035116			Unknown protein		
SMED30035117			Unknown protein		
SMED30035114	tr|A0A210PQI3|A0A210PQI3_MIZYE	***	Potassium voltage-gated channel protein Shaw		GO:0005216, GO:0005244, GO:0005249, GO:0005267, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0016021, GO:0034765, GO:0051260, GO:0055085, GO:0071805
SMED30035115	tr|A0A4Z2DNN4|A0A4Z2DNN4_SCHJA	***	DNA-directed RNA polymerase III subunit RPC3		GO:0003697, GO:0003899, GO:0005666, GO:0032774
SMED30011167			Unknown protein		
SMED30011168	tr|A0A2I3GA67|A0A2I3GA67_NOMLE	***	Meiosis 1 associated protein		GO:0005737, GO:0007127, GO:0007283, GO:0007292, GO:0042802, GO:0051308
SMED30011169	tr|E2C035|E2C035_HARSA	*-*	Low affinity cationic amino acid transporter 2		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30035118	tr|I1ZII9|I1ZII9_SCHMD	***	Leucine rich repeat and fibronectin type III domain containing-1		
SMED30035119	tr|A0A131XYR2|A0A131XYR2_IXORI	***	Histone deacetylase		GO:0000118, GO:0004407, GO:0005634, GO:0006325, GO:0016575, GO:0016787, GO:0032041, GO:0070932
SMED30023130			Unknown protein		
SMED30025793	tr|A0A2K5DIC9|A0A2K5DIC9_AOTNA	***	Interferon induced with helicase C domain 1		GO:0003677, GO:0003725, GO:0003727, GO:0005524, GO:0005737, GO:0008270, GO:0009615, GO:0016787, GO:0016925, GO:0032727, GO:0032728, GO:0035549, GO:0039530, GO:0042802, GO:0043021, GO:0045087, GO:0046872, GO:0051607, GO:0060760, GO:0071360, GO:1902741, GO:1904469, GO:2000778
SMED30025794			Unknown protein		
SMED30025795			Unknown protein		
SMED30025796	tr|A0A1S3JY69|A0A1S3JY69_LINUN	***	Innexin		GO:0005886, GO:0005921, GO:0006811, GO:0016020, GO:0016021, GO:0030054
SMED30023134	tr|A0A267DHM7|A0A267DHM7_9PLAT	*-*	4F5 domain-containing protein		
SMED30023133			Unknown protein		
SMED30025790	tr|A0A4Y2RM93|A0A4Y2RM93_ARAVE	*-*	Tigger transposable element-derived protein 6		GO:0003676, GO:0003677
SMED30023132	tr|A0A2G9V396|A0A2G9V396_TELCI	***	Carbonic anhydrase		GO:0004089, GO:0008270, GO:0016829
SMED30025791	tr|R7V1J6|R7V1J6_CAPTE	*-*	B box-type domain-containing protein		GO:0008270
SMED30023131			Unknown protein		
SMED30025792			Unknown protein		
SMED30023138			Unknown protein		
SMED30023137			Unknown protein		
SMED30023136			Unknown protein		
SMED30023135	tr|A0A5J4NYT0|A0A5J4NYT0_9TREM	***	Exonuclease 3'-5' domain-containing protein 1		GO:0004527, GO:0090305
SMED30025797	tr|W6U1S2|W6U1S2_ECHGR	*-*	TNF receptor-associated factor		GO:0007165, GO:0008270, GO:0042981, GO:0046872
SMED30025798			Unknown protein		
SMED30025799	tr|A0A0V0SFY6|A0A0V0SFY6_9BILA	*-*	SCAN domain-containing protein 3		
SMED30023139	tr|A0A094ZM79|A0A094ZM79_SCHHA	***	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1		GO:0005506, GO:0016705, GO:0016706, GO:0031418, GO:0055114
SMED30011174			Unknown protein		
SMED30035141	tr|A0A085YZA2|A0A085YZA2_9FLAO	***	ABC transporter ATP-binding protein		GO:0000166, GO:0005524, GO:0006508, GO:0008233, GO:0016020, GO:0016021, GO:0016887, GO:0042626, GO:0055085
SMED30011175			Unknown protein		
SMED30035142			Unknown protein		
SMED30011176			Unknown protein		
SMED30011177			Unknown protein		
SMED30035140			Unknown protein		
SMED30011170	tr|A0A0R3TY84|A0A0R3TY84_RODNA	*-*	Guanylate cyclase domain-containing protein		GO:0000166, GO:0009190, GO:0016020, GO:0016021, GO:0016829, GO:0016849, GO:0035556
SMED30035145	tr|A5A7N8|A5A7N8_DUGJA	*-*	Syntaxin binding protein		GO:0006904, GO:0016192
SMED30011171			Unknown protein		
SMED30035146	tr|A0A3B0JYR1|A0A3B0JYR1_DROGU	***	Blast:Endothelin-converting enzyme 1		GO:0004222, GO:0006508, GO:0008237, GO:0016020, GO:0016021
SMED30011172			Unknown protein		
SMED30035143	tr|A0A4Y2H135|A0A4Y2H135_ARAVE	*-*	PiggyBac transposable element-derived protein 2		GO:0016020, GO:0016021
SMED30011173	tr|Q4SFC2|Q4SFC2_TETNG	*-*	Non-specific serine/threonine protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740, GO:0035091
SMED30035144			Unknown protein		
SMED30035149			Unknown protein		
SMED30035147			Unknown protein		
SMED30035148			Unknown protein		
SMED30011178			Unknown protein		
SMED30011179			Unknown protein		
SMED30023163	tr|K1Q7S0|K1Q7S0_CRAGI	***	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C		GO:0006506, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0017176
SMED30023162			Unknown protein		
SMED30023161			Unknown protein		
SMED30023160	tr|A0A193KUU6|A0A193KUU6_SCHMD	***	GCR143		GO:0016020, GO:0016021
SMED30023167	tr|A0A068YKT4|A0A068YKT4_ECHMU	***	High mobility group protein		GO:0003677, GO:0005634
SMED30023166			Unknown protein		
SMED30023165	tr|A0A2H2HWN7|A0A2H2HWN7_CAEJA	*-*	RNA polymerase II subunit A C-terminal domain phosphatase		GO:0004721, GO:0005634, GO:0008420, GO:0016787, GO:0070940
SMED30023164			Unknown protein		
SMED30023169			Unknown protein		
SMED30023168	tr|A0A419Q6J0|A0A419Q6J0_CLOSI	***	GTPase Era		GO:0003723, GO:0005525
SMED30011185	tr|A0A0X3NU67|A0A0X3NU67_SCHSO	***	Solute carrier family 2, facilitated glucose transporter member 3		GO:0008643, GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30035130			Unknown protein		
SMED30011186			Unknown protein		
SMED30035131	tr|A0A0A1WVU5|A0A0A1WVU5_ZEUCU	*-*	Glutamate receptor, ionotropic kainate 2		GO:0004970, GO:0005216, GO:0005886, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0030054, GO:0034220, GO:0035235, GO:0038023, GO:0045202, GO:0045211
SMED30011187			Unknown protein		
SMED30011188			Unknown protein		
SMED30011181	tr|A0A1S3IGH9|A0A1S3IGH9_LINUN	***	fidgetin-like protein 1		GO:0000166, GO:0005524
SMED30035134			Unknown protein		
SMED30011182	tr|A0A1S3KHB4|A0A1S3KHB4_LINUN	***	Golgi pH regulator		GO:0016020, GO:0016021
SMED30035135	tr|A0A193KUL6|A0A193KUL6_SCHMD	***	GCR118		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30011183			Unknown protein		
SMED30035132	tr|A0A4Z2CQX3|A0A4Z2CQX3_SCHJA	***	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15		GO:0000166, GO:0003676, GO:0004386, GO:0005524, GO:0016787
SMED30011184	sp|Q6NTJ3|GWL_XENLA	*-*	Serine/threonine-protein kinase greatwall		GO:0000086, GO:0000166, GO:0000278, GO:0004672, GO:0004674, GO:0005515, GO:0005524, GO:0005634, GO:0005654, GO:0005737, GO:0005813, GO:0005815, GO:0005856, GO:0006468, GO:0006974, GO:0007049, GO:0016301, GO:0016310, GO:0016740, GO:0032154, GO:0032515, GO:0046777, GO:0051301, GO:0051721
SMED30035133			Unknown protein		
SMED30035138	tr|A0A4X2KH44|A0A4X2KH44_VOMUR	*-*	Sulfotransferase		GO:0008146, GO:0016740
SMED30035139	tr|F7CQM5|F7CQM5_MONDO	***	TOG array regulator of axonemal microtubules 1		GO:0005874, GO:0005929, GO:0031116, GO:0036064
SMED30035136			Unknown protein		
SMED30035137			Unknown protein		
SMED30011189	tr|A0A151WUG4|A0A151WUG4_9HYME	***	Arfaptin-2		GO:0019904
SMED30023152	sp|Q7VBM9|SYW_PROMA	***	Tryptophan--tRNA ligase		GO:0000166, GO:0004812, GO:0004830, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0006436, GO:0016874
SMED30023151	tr|A0A4S2M651|A0A4S2M651_OPIFE	***	Ubiquitin-like domain-containing protein		
SMED30023150			Unknown protein		
SMED30023156			Unknown protein		
SMED30023155	tr|A0A5N5SJX0|A0A5N5SJX0_9CRUS	***	Thyroid adenoma-associated-like protein		
SMED30023154			Unknown protein		
SMED30023153			Unknown protein		
SMED30023159	tr|A0A5A9NRC4|A0A5A9NRC4_9TELE	*-*	60S acidic ribosomal protein P2		GO:0003735, GO:0005840, GO:0006414
SMED30023158	tr|A0A210QQD6|A0A210QQD6_MIZYE	***	Frizzled-4		GO:0004888, GO:0007166, GO:0007275, GO:0016020, GO:0016021, GO:0016055, GO:0042813
SMED30011180	tr|K1PG80|K1PG80_CRAGI	*-*	Kinesin-like protein KIF26A		GO:0000166, GO:0003774, GO:0003777, GO:0005524, GO:0007018, GO:0008017
SMED30023157	tr|A0A4V2JXB2|A0A4V2JXB2_9MICR	***	DDE-like endonuclease		GO:0004519, GO:0090305
SMED30011196			Unknown protein		
SMED30035163			Unknown protein		
SMED30011197			Unknown protein		
SMED30035164			Unknown protein		
SMED30011198	tr|A0A1E4X495|A0A1E4X495_9GAMM	***	RNA polymerase sigma factor FliA		GO:0003677, GO:0003700, GO:0003899, GO:0006352, GO:0006355, GO:0016987, GO:2000142
SMED30035161			Unknown protein		
SMED30011199	tr|A0A4C1YE98|A0A4C1YE98_EUMVA	*-*	Zinc finger MYM-type protein 1		GO:0046983
SMED30035162			Unknown protein		
SMED30011192	tr|A0A4Y2H8G4|A0A4Y2H8G4_ARAVE	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0015074
SMED30035167	sp|Q05893|PCKG_ASCSU	***	Phosphoenolpyruvate carboxykinase [GTP]		GO:0000166, GO:0004611, GO:0004613, GO:0005525, GO:0006094, GO:0016829, GO:0016831, GO:0017076, GO:0046872
SMED30011193			Unknown protein		
SMED30035168	tr|A0A2P1E6J0|A0A2P1E6J0_SCHMD	***	Integrator complex subunit 9-like protein		GO:0016180, GO:0032039
SMED30011194			Unknown protein		
SMED30035165			Unknown protein		
SMED30011195			Unknown protein		
SMED30035166	tr|D7GXL4|D7GXL4_TRICA	***	Rho_N domain-containing protein		GO:0006353
SMED30035169			Unknown protein		
SMED30023181			Unknown protein		
SMED30023180	tr|A0A0H3YF52|A0A0H3YF52_SCHMD	***	Transporter		GO:0005328, GO:0006836, GO:0015293, GO:0016020, GO:0016021, GO:0055085
